Day,Portfolio_MTM,Portfolio_Cum_Carry,Portfolio_Total,Port_NPV_Shocked,Port_NPV_Base,Port_Settled_CF_Base,Port_Settled_CF_Shock,Port_Daily_IRS_Carry,Port_Daily_IRS_MTM,Aging_Days,Shock_Type,Ramp_Factor_pct,Float_Shocked_pct,Float_Base_pct,t_nxt_s_yr,Shock_1D_bp,ZeroCurve_1D_pct,Shock_3M_bp,ZeroCurve_3M_pct,Shock_6M_bp,ZeroCurve_6M_pct,Shock_9M_bp,ZeroCurve_9M_pct,Shock_1Y_bp,ZeroCurve_1Y_pct,Shock_1.5Y_bp,ZeroCurve_1.5Y_pct,Shock_2Y_bp,ZeroCurve_2Y_pct,Shock_3Y_bp,ZeroCurve_3Y_pct,Shock_4Y_bp,ZeroCurve_4Y_pct,Shock_5Y_bp,ZeroCurve_5Y_pct,Shock_6Y_bp,ZeroCurve_6Y_pct,Shock_7Y_bp,ZeroCurve_7Y_pct,Shock_8Y_bp,ZeroCurve_8Y_pct,Shock_9Y_bp,ZeroCurve_9Y_pct,Shock_10Y_bp,ZeroCurve_10Y_pct
152,43047396,0,43047396,28859871,28859871,0,0,0,43047396,152.0,ramp,41.6,2.81,2.81,0.0856,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
153,43255629,0,43255629,29068104,29068104,0,0,0,43255629,153.0,ramp,41.9,2.81,2.81,0.0829,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
154,43463898,0,43463898,29276374,29276374,0,0,0,43463898,154.0,ramp,42.2,2.81,2.81,0.0801,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
155,43672204,0,43672204,29484679,29484679,0,0,0,43672204,155.0,ramp,42.5,2.81,2.81,0.0774,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
156,43880545,0,43880545,29693020,29693020,0,0,0,43880545,156.0,ramp,42.7,2.81,2.81,0.0747,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
157,44088922,0,44088922,29901398,29901398,0,0,0,44088922,157.0,ramp,43.0,2.81,2.81,0.0719,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
158,44297336,0,44297336,30109811,30109811,0,0,0,44297336,158.0,ramp,43.3,2.81,2.81,0.0692,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
159,44505786,0,44505786,30318261,30318261,0,0,0,44505786,159.0,ramp,43.6,2.81,2.81,0.0664,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
160,44714272,0,44714272,30526747,30526747,0,0,0,44714272,160.0,ramp,43.8,2.81,2.81,0.0637,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
161,44922793,0,44922793,30735269,30735269,0,0,0,44922793,161.0,ramp,44.1,2.81,2.81,0.061,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
